Counties,State,OATS 2017,SOYBEANS 2017,WHEAT 2017,CORN 2017,OATS 2012,SOYBEANS 2012,WHEAT 2012,CORN 2012,OATS 2007,SOYBEANS 2007,WHEAT 2007,CORN 2007,OATS 2002,SOYBEANS 2002,WHEAT 2002,CORN 2002,OATS 1997,SOYBEANS 1997,WHEAT 1997,CORN 1997
Adair ,Iowa,25668,5410804,,15907191,59252,3624899,,10814631,58045,3999060,20229,15201080,228724,4695369,,15758674,158976,3549376,,11156196
Clermont ,Ohio,,1782668,81481,2218945,,2183103,47250,3127442,,1242774,33144,2466614,,1432330,55641,975209,,897521,63789,1393020
Clinton ,Illinois,,4651414,1695891,13304000,7762,3035724,2000172,3850537,6085,3083686,2319616,12548693,9909,3904424,1382141,8725448,9555,2959629,2270966,6862367
Clinton ,Indiana,,6918852,146315,20465567,,4940501,86683,16280516,,4583863,181422,25560313,,5534905,145038,18807961,8612,4786159,295061,13789526
Clinton ,Missouri,,3630925,29149,8060758,,1332428,38709,2268812,,1815092,126065,5078898,17561,1492692,53029,2690201,5768,1506966,110135,3412276
Clinton ,Ohio,,6151759,183502,12721835,33642,4864588,154392,11888292,7722,4220204,229775,13352185,,5313135,312350,6793624,,4427524,450234,10388129
Coles ,Illinois,,6613457,78086,20001724,1076,4504060,76404,10374981,7267,4850980,103933,22615946,3492,4748754,67768,13629414,12258,4650401,162322,15059917
Cooper ,Missouri,,3344250,998567,7642658,,1532673,1035932,2073324,490,1852294,1086374,6688391,29641,2123532,832203,3667097,22855,2055726,1303716,3359699
Crawford ,Illinois,,4924819,520012,15432908,,2332899,364351,3150606,,2892248,483197,12285231,,3016415,267038,7578222,5294,3160145,755161,7968721
Crawford ,Missouri,,55775,14400,201258,,49770,8250,24530,,7928,,3802,,14336,4332,17989,,,25850,172809
Clay ,Missouri,,1032094,124289,2352493,,729860,57359,997185,,846579,83408,1754060,5840,854296,120021,913218,,998785,198640,1093526
Crawford ,Ohio,,5842980,792182,15592658,6236,4663579,858633,11810694,6222,4379721,1418021,12706198,10335,2799002,1634695,5793110,40325,4032809,1743271,9570767
Dade ,Missouri,,1441048,1133688,2596814,,822598,1228242,988991,,665773,543098,1598688,12055,722171,725231,702066,9294,563941,718419,331663
De Kalb ,Indiana,,3501478,687792,6783926,7404,2507607,502577,4249282,7959,2189511,399835,6971934,44170,2396975,370988,4784219,20801,1993401,608068,4323726
Dearborn ,Indiana,,462019,2857,563205,,236696,16546,591926,,211952,15174,1163838,216,261408,20430,309204,3364,215263,45290,635317
Decatur ,Indiana,,4994096,213629,14415354,,3248851,211893,6603405,,2645486,251719,13823926,1440,3677177,228230,7902964,12150,3032614,502531,10504747
Defiance ,Ohio,,4895349,984174,7293574,10630,3826434,729195,4387147,13620,4313266,715960,8095458,16393,3570226,711566,5373866,50543,3084856,1202710,4642148
Delaware ,Indiana,,4741343,81211,9575871,,3740389,95368,8392455,,2723753,105304,9265656,2150,4330896,98967,6412537,21723,3327358,242051,7271994
Dent ,Missouri,,11080,,13960,,,,,,,,9900,,,4060,26894,,,9885,34199
Des Moines ,Iowa,,3676291,30703,13459285,1450,2765964,23354,9249043,5926,2819511,88031,15546801,22029,2871729,7848,10938520,32037,3241994,34516,9606586
Dubois ,Indiana,,3031059,287691,10832750,1202,1584343,284873,3924599,1840,1454425,230139,9338696,,1446578,233218,4328025,,1537767,418234,5467590
Cumberland ,Illinois,,3552130,75793,10357710,,2383339,109895,2187911,,2236736,206910,9909876,,2828877,98436,8278691,,2458841,328587,8226288
Dunklin ,Missouri,,5548356,1440899,4221823,,2756568,1100502,3300507,,2421291,863026,4592828,,2124452,1178679,1305093,,2543306,1151860,2311637
Clay ,Indiana,,3655851,71602,11169361,,2059245,55482,3859641,,2467153,62637,11216986,1240,2696450,100999,6469944,1364,2063979,210414,7104562
